▶ Методология: normalized-conformal (|факт−предикт|/σ, virtual ensembles) + epistemic-novelty
  wide из кэша: models/ohangaron_v23_staging/_wide_cache.pkl
  merge: сохранено 32 моделей др. ГПА (перезапишу ГПА-1)
  temp_front_bearing_pads__GPA1: univariate_only n_trees=7 R²_eval=-25.1617
  temp_rear_bearing_pads__GPA1: univariate_only n_trees=10 R²_eval=-1.7437
  vibro_front_support__GPA1: ml_corridor n_trees=16 R²_eval=-0.4044
  vibro_rear_support__GPA1: ml_corridor n_trees=109 R²_eval=0.1185
  vibro_st_support__GPA1: univariate_only n_trees=17 R²_eval=0.0491
  vibro_rotor_front_horiz__GPA1: univariate_only n_trees=1 R²_eval=-7.157
  vibro_rotor_front_vert__GPA1: univariate_only n_trees=1 R²_eval=-10.9298
  vibro_disp_rotor_rear_horiz__GPA1: ml_corridor n_trees=1 R²_eval=-6.932
  vibro_disp_rotor_rear_vert__GPA1: univariate_only n_trees=5 R²_eval=-0.6667
  polytropic_head__GPA1: univariate_only n_trees=15 R²_eval=-1.5266
  compressor_rotor_axial_shift_t1__GPA1: univariate_only n_trees=22 R²_eval=-1.1792
  compressor_rotor_axial_shift_t2__GPA1: univariate_only n_trees=25 R²_eval=-0.8264
  gas_temp_out_gpa__GPA1: univariate_only n_trees=48 R²_eval=0.0854
  oil_temp_out_zod__GPA1: univariate_only n_trees=3 R²_eval=-37.3164
  oil_temp_out_st__GPA1: univariate_only n_trees=31 R²_eval=-18.1434
  oil_temp_in_pod__GPA1: univariate_only n_trees=31 R²_eval=-3.7337
